date,depth below ground(m)
28/01/1980,34.51
02/04/1980,32.54
07/05/1980,32.82
04/06/1980,35.54
02/07/1980,38.03
06/08/1980,39.71
03/09/1980,40.72
30/10/1980,42.25
05/11/1980,42.64
03/12/1980,42.46
07/01/1981,38.39
04/02/1981,35.65
03/03/1981,35.57
13/04/1981,34.17
12/05/1981,30.62
11/06/1981,30.29
10/07/1981,30.51
13/08/1981,36.23
03/09/1981,37.94
06/10/1981,40.21
05/11/1981,40.38
04/12/1981,40.44
12/01/1982,37.8
02/02/1982,36.42
02/03/1982,36.11
01/04/1982,36.47
07/05/1982,37.31
01/06/1982,37.05
02/07/1982,37.55
09/09/1982,41.06
07/10/1982,41.69
02/11/1982,37.6
06/12/1982,33
06/01/1983,31.01
10/02/1983,36.2
14/03/1983,31.1
08/04/1983,32.6
06/05/1983,31.4
06/06/1983,28.64
14/07/1983,32.5
05/08/1983,35.22
12/09/1983,39.13
13/10/1983,39.6
15/12/1983,41.8
09/01/1984,40.5
09/02/1984,35.2
08/03/1984,31.05
12/04/1984,34.2
04/06/1984,36.89
17/08/1984,39.97
24/09/1984,41.41
05/11/1984,41.1
06/12/1984,40.09
17/01/1985,36.54
15/02/1985,33.18
25/03/1985,34.21
18/04/1985,36.19
16/05/1985,35.5
17/06/1985,36.4
08/07/1985,36.8
19/08/1985,38.42
17/09/1985,39.91
16/10/1985,41.25
18/11/1985,42.3
11/12/1985,42.63
14/01/1986,38.38
20/02/1986,33.64
21/03/1986,35.33
16/04/1986,36.74
15/05/1986,35.55
09/06/1986,35.84
14/07/1986,38.75
21/08/1986,41.25
18/09/1986,42
09/10/1986,42.41
06/11/1986,42.96
05/12/1986,42.1
21/01/1987,34.12
12/02/1987,33.14
16/03/1987,34.84
09/04/1987,34.67
14/05/1987,33.22
05/06/1987,34.98
14/07/1987,37.01
19/08/1987,37.82
08/09/1987,36.42
05/10/1987,33.9
12/11/1987,29.26
14/12/1987,30
14/01/1988,31.57
17/02/1988,26.02
18/03/1988,28.76
19/04/1988,28.33
16/05/1988,30.68
11/07/1988,36.92
22/08/1988,39.23
22/09/1988,40.39
21/10/1988,41.13
21/11/1988,41.38
16/12/1988,41.31
09/01/1989,40.22
06/02/1989,39.61
13/03/1989,39.42
06/04/1989,38.52
11/05/1989,37.49
05/06/1989,38.58
07/07/1989,41.03
21/08/1989,43.02
05/09/1989,43.48
16/10/1989,44.1
16/11/1989,44.45
21/12/1989,42.05
09/01/1990,43.06
27/02/1990,38
20/03/1990,36.8
04/04/1990,35.78
02/05/1990,37.1
01/06/1990,39.3
05/07/1990,41.28
09/08/1990,43.27
03/09/1990,44.55
01/10/1990,45.15
01/11/1990,45.3
04/12/1990,45.38
08/01/1991,44.7
04/02/1991,43
07/03/1991,41.83
03/04/1991,40.89
21/05/1991,40.9
25/06/1991,42.05
11/07/1991,42.43
01/08/1991,42.68
20/09/1991,45.25
22/10/1991,45.55
14/11/1991,45.52
02/12/1991,45.4
28/01/1992,44.5
25/02/1992,43.5
03/03/1992,43.03
02/04/1992,42.96
05/05/1992,43.06
16/06/1992,42.14
14/07/1992,43.69
24/08/1992,44.75
18/09/1992,45.1
07/10/1992,45
27/11/1992,43
11/12/1992,39.7
22/01/1993,35
23/02/1993,34.4
23/03/1993,35.75
19/04/1993,36.51
18/05/1993,37.05
15/06/1993,37.88
20/07/1993,40.08
09/08/1993,40.45
27/09/1993,42.2
12/10/1993,41.8
03/11/1993,36.05
01/12/1993,31.08
26/01/1994,25.9
22/02/1994,28.88
22/03/1994,30.63
19/04/1994,30.12
16/05/1994,30.68
20/06/1994,33.9
12/07/1994,36.33
02/08/1994,38.49
12/09/1994,40.91
12/10/1994,39.95
14/11/1994,39.89
16/12/1994,37.8
17/01/1995,35.95
17/02/1995,34.93
13/03/1995,29.9
05/04/1995,28.97
23/05/1995,34.1
13/06/1995,35.88
10/07/1995,38.86
24/08/1995,42.45
08/09/1995,43.2
24/10/1995,43.22
07/11/1995,43.25
14/12/1995,43.87
19/01/1996,43.6
06/02/1996,42.68
19/03/1996,40.9
11/04/1996,39.86
11/06/1996,42.81
04/07/1996,44.31
08/08/1996,45.78
24/09/1996,45.71
07/10/1996,45.48
19/11/1996,44.93
02/12/1996,43.62
17/01/1997,39.1
26/02/1997,39
11/03/1997,38.82
25/04/1997,39.2
08/05/1997,39.82
24/06/1997,40.78
23/07/1997,42
06/08/1997,41.9
01/09/1997,43.06
10/10/1997,43.8
20/11/1997,44.1
04/12/1997,44.03
26/01/1998,34.9
21/02/1998,33
07/03/1998,34.1
15/04/1998,30.72
21/05/1998,31.8
24/06/1998,34.32
17/07/1998,35.78
03/08/1998,37.43
14/09/1998,40.08
09/10/1998,40.95
10/11/1998,41.55
14/01/1999,33.65
05/02/1999,31.2
03/03/1999,31.9
28/04/1999,32.05
26/05/1999,34.9
07/06/1999,41.41
10/06/1999,35.5
22/07/1999,40
16/08/1999,41.13
21/10/1999,40.57
04/11/1999,40.43
16/12/1999,38.7
24/01/2000,35.3
07/02/2000,35.32
06/03/2000,35.26
17/04/2000,35.1
09/05/2000,35.7
28/06/2000,35.35
26/07/2000,37.37
21/08/2000,39.63
28/09/2000,41.64
06/10/2000,41.7
28/11/2000,31.12
18/12/2000,29.05
10/01/2001,29.67
05/02/2001,29.3
30/04/2001,28.27
23/05/2001,29.65
20/06/2001,31.5
17/07/2001,33.9
20/08/2001,36.46
22/09/2001,38.49
17/10/2001,38.85
16/11/2001,37.95
17/12/2001,36.02
16/01/2002,35.28
14/02/2002,33.27
14/03/2002,32
16/04/2002,33.48
17/05/2002,35.48
18/06/2002,37.88
16/07/2002,39.62
15/08/2002,39.35
13/09/2002,38.81
11/10/2002,39.71
20/11/2002,35.65
18/12/2002,31.49
20/01/2003,25.5
11/02/2003,26.59
12/03/2003,29.2
15/04/2003,32.16
20/05/2003,35.46
16/06/2003,38.28
14/07/2003,39.09
13/08/2003,41.37
13/09/2003,41.54
21/10/2003,42.33
18/11/2003,42.66
15/12/2003,41.59
14/01/2004,37.08
13/02/2004,28.25
16/03/2004,30.52
14/04/2004,32.44
19/05/2004,34.58
22/06/2004,36.26
12/07/2004,37.57
18/08/2004,39.55
13/09/2004,39.41
18/10/2004,38.29
14/12/2004,33.82
20/01/2005,35.43
22/02/2005,36.02
14/03/2005,35.09
18/04/2005,34.15
17/05/2005,36.12
22/06/2005,39.23
20/07/2005,40.72
23/08/2005,41.88
22/09/2005,41.68
20/10/2005,41.64
15/11/2005,40.98
12/12/2005,39.51
10/01/2006,39.39
16/02/2006,38.45
13/03/2006,38.36
11/04/2006,37.79
10/05/2006,38.08
13/06/2006,38.66
17/07/2006,40.83
11/08/2006,42.25
12/09/2006,40.53
18/10/2006,39.68
16/11/2006,38.53
15/12/2006,36.55
18/01/2007,33.58
14/02/2007,31.03
12/03/2007,32.17
16/04/2007,32
18/05/2007,35.36
18/06/2007,36.49
25/07/2007,32.82
13/08/2007,33.38
13/09/2007,33.38
19/10/2007,35.74
21/11/2007,35.67
18/12/2007,36.16
15/01/2008,34.89
15/02/2008,30.1
18/03/2008,32.45
10/04/2008,32.93
13/05/2008,33.37
17/06/2008,36.1
10/07/2008,38.14
14/08/2008,39.62
16/09/2008,39.98
14/10/2008,39.39
17/11/2008,37.57
11/12/2008,35.26
16/01/2009,33.54
20/02/2009,33.69
13/03/2009,31.12
27/04/2009,34.16
20/05/2009,36.37
19/06/2009,38.47
28/07/2009,40.72
09/09/2009,41.16
20/10/2009,43.81
17/12/2009,42.85
20/01/2010,37.5
05/02/2010,34.6
02/03/2010,31.4
06/04/2010,30
04/05/2010,32.7
09/06/2010,33.24
11/10/2010,40.95
03/11/2010,39.7
06/12/2010,38.27
